selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.0, 0.01282051282051282, 0.02564102564102564, 0.038461538461538464, 0.10256410256410256, 0.21794871794871795, 0.23076923076923078, 0.41025641025641024, 1.0]","[0.0, 0.919558359621451, 0.9305993690851735, 0.9558359621451105, 0.9589905362776026, 0.9684542586750788, 0.9794952681388013, 0.9826498422712934, 0.9921135646687698, 1.0]","[       inf 0.97127455 0.9599228  0.9356128  0.7417798  0.54888165
 0.48936388 0.4498492  0.30614445 0.2727513 ]"
SVM,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.038461538461538464, 0.038461538461538464, 0.05128205128205128, 0.05128205128205128, 0.11538461538461539, 0.11538461538461539, 0.15384615384615385, 0.1794871794871795, 0.21794871794871795, 0.24358974358974358, 0.2692307692307692, 0.2948717948717949, 0.34615384615384615, 0.358974358974359, 0.4358974358974359, 1.0]","[0.0, 0.943217665615142, 0.944794952681388, 0.9511041009463722, 0.9558359621451105, 0.9652996845425867, 0.9700315457413249, 0.9763406940063092, 0.9794952681388013, 0.9826498422712934, 0.9873817034700315, 0.9873817034700315, 0.9921135646687698, 0.9921135646687698, 0.9968454258675079, 0.9968454258675079, 0.998422712933754, 0.998422712933754, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.94583333 0.89285714 0.88333333 0.85
 0.8        0.79166667 0.77333333 0.7725     0.73333333 0.725
 0.575      0.53583333 0.50416667 0.48916667 0.45833333 0.3725
 0.33833333 0.26333333 0.23416667 0.20833333 0.1375     0.10416667
 0.1        0.05416667 0.03333333 0.025      0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.038461538461538464, 0.038461538461538464, 0.0641025641025641, 0.0641025641025641, 0.07692307692307693, 0.07692307692307693, 0.08974358974358974, 0.08974358974358974, 0.10256410256410256, 0.10256410256410256, 0.14102564102564102, 0.14102564102564102, 0.16666666666666666, 0.16666666666666666, 0.20512820512820512, 0.20512820512820512, 0.21794871794871795, 0.21794871794871795, 0.3076923076923077, 0.3076923076923077, 0.3974358974358974, 0.3974358974358974, 0.4230769230769231, 0.4230769230769231, 0.4358974358974359, 0.4358974358974359, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.0015772870662460567, 0.9211356466876972, 0.9211356466876972, 0.9305993690851735, 0.9305993690851735, 0.9558359621451105, 0.9558359621451105, 0.9589905362776026, 0.9589905362776026, 0.9621451104100947, 0.9621451104100947, 0.9637223974763407, 0.9637223974763407, 0.9668769716088328, 0.9668769716088328, 0.9684542586750788, 0.9684542586750788, 0.973186119873817, 0.973186119873817, 0.9747634069400631, 0.9747634069400631, 0.9794952681388013, 0.9794952681388013, 0.9826498422712934, 0.9826498422712934, 0.9873817034700315, 0.9873817034700315, 0.9921135646687698, 0.9921135646687698, 0.9936908517350158, 0.9936908517350158, 0.9952681388012619, 0.9952681388012619, 0.9968454258675079, 0.9968454258675079, 1.0]","[       inf 1.         0.93833672 0.93705919 0.90822436 0.90811911
 0.78390724 0.76995189 0.74919283 0.72526826 0.69232194 0.68941902
 0.636038   0.61245767 0.60705192 0.60387419 0.60090215 0.58504264
 0.55042325 0.51748367 0.5        0.47949478 0.40663865 0.403945
 0.38781717 0.35484774 0.33930935 0.2841247  0.25744661 0.24847048
 0.24484034 0.23674196 0.23381215 0.20996558 0.20397397 0.02666632
 0.01512757]"
SVM,DecisionTree,1,"[0.0, 0.0, 0.038461538461538464, 1.0]","[0.0, 0.9952681388012619, 1.0, 1.0]",[inf 1.  0.5 0. ]
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.01282051282051282, 0.038461538461538464, 0.038461538461538464, 0.0641025641025641, 0.0641025641025641, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.19230769230769232, 0.21794871794871795, 0.2564102564102564, 0.2564102564102564, 0.28205128205128205, 0.32051282051282054, 0.358974358974359, 0.3974358974358974, 0.4230769230769231, 0.4230769230769231, 0.4358974358974359, 0.48717948717948717, 0.5256410256410257, 0.5769230769230769, 0.6538461538461539, 0.6666666666666666, 1.0]","[0.0, 0.695583596214511, 0.7066246056782335, 0.7318611987381703, 0.7618296529968455, 0.7665615141955836, 0.7886435331230284, 0.7949526813880127, 0.8123028391167192, 0.8138801261829653, 0.8170347003154574, 0.8296529968454258, 0.8375394321766562, 0.8422712933753943, 0.8454258675078864, 0.8548895899053628, 0.8690851735015773, 0.8753943217665615, 0.8769716088328076, 0.8832807570977917, 0.8848580441640379, 0.8974763406940063, 0.9085173501577287, 0.919558359621451, 0.9211356466876972, 0.9242902208201893, 0.9369085173501577, 0.9511041009463722, 0.9526813880126183, 0.9621451104100947, 0.9684542586750788, 0.9716088328075709, 0.9747634069400631, 0.9763406940063092, 0.9794952681388013, 0.9842271293375394, 0.9842271293375394, 0.9873817034700315, 0.9873817034700315, 0.9905362776025236, 0.9905362776025236, 0.9936908517350158, 0.9936908517350158, 0.9936908517350158, 0.9952681388012619, 0.9952681388012619, 0.9968454258675079, 0.9968454258675079, 0.998422712933754, 0.998422712933754, 0.998422712933754, 0.998422712933754, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9963612  0.9961863  0.9961035  0.9959959  0.9957124
 0.9944674  0.992061   0.99179804 0.9914057  0.9910625  0.9896415
 0.98948485 0.9891629  0.9886092  0.9876009  0.9866094  0.9862976
 0.9859725  0.98594195 0.98527944 0.9822013  0.9609276  0.9598343
 0.9572864  0.95596343 0.9497872  0.94771636 0.9427474  0.91552943
 0.9012963  0.8899359  0.8767693  0.86741453 0.8618637  0.8504122
 0.80530626 0.7580458  0.75324744 0.72300005 0.6221855  0.5755178
 0.37294656 0.16834183 0.15692057 0.12537128 0.12036776 0.11986399
 0.11645713 0.06533199 0.0651676  0.05742722 0.0559352  0.05228038
 0.04716433 0.04524032 0.04372058 0.04026803 0.03268114 0.03136101]"
SVM,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.10256410256410256, 0.10256410256410256, 0.24358974358974358, 0.28205128205128205, 0.358974358974359, 0.38461538461538464, 0.4230769230769231, 0.46153846153846156, 0.47435897435897434, 0.5, 0.5256410256410257, 0.5641025641025641, 1.0]","[0.0, 0.9037854889589906, 0.9069400630914827, 0.916403785488959, 0.917981072555205, 0.9305993690851735, 0.9369085173501577, 0.9416403785488959, 0.9511041009463722, 0.9558359621451105, 0.9637223974763407, 0.9700315457413249, 0.973186119873817, 0.9810725552050473, 0.9842271293375394, 0.9889589905362776, 0.9889589905362776, 0.9905362776025236, 0.9905362776025236, 0.998422712933754, 0.998422712933754, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99       0.9875     0.98333333 0.975
 0.96666667 0.96666667 0.95       0.92916667 0.925      0.91
 0.90833333 0.81916667 0.8175     0.74416667 0.69666667 0.67916667
 0.64       0.47083333 0.3125     0.2825     0.1125     0.10833333
 0.05833333 0.05       0.04166667 0.0375     0.035      0.03333333
 0.0225     0.0125     0.        ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.038461538461538464, 0.038461538461538464, 0.05128205128205128, 0.05128205128205128, 0.07692307692307693, 0.07692307692307693, 0.11538461538461539, 0.11538461538461539, 0.20512820512820512, 0.20512820512820512, 0.21794871794871795, 0.21794871794871795, 0.32051282051282054, 0.32051282051282054, 0.5256410256410257, 0.5256410256410257, 1.0]","[0.0, 0.0015772870662460567, 0.6719242902208202, 0.6719242902208202, 0.9826498422712934, 0.9826498422712934, 0.9873817034700315, 0.9873817034700315, 0.9905362776025236, 0.9905362776025236, 0.9921135646687698, 0.9921135646687698, 0.9936908517350158, 0.9936908517350158, 0.9952681388012619, 0.9952681388012619, 0.9968454258675079, 0.9968454258675079, 0.998422712933754, 0.998422712933754, 1.0, 1.0]","[       inf 0.99999969 0.98884533 0.98879265 0.962705   0.95599236
 0.88434494 0.87555099 0.72288732 0.60415615 0.59411387 0.40574553
 0.38296659 0.17208531 0.15499503 0.13793244 0.11788681 0.05267796
 0.05078164 0.02705784 0.02637271 0.01064239]"
SVM,DecisionTree,2,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.0641025641025641, 0.0641025641025641, 0.11538461538461539, 0.15384615384615385, 0.1794871794871795, 0.19230769230769232, 0.2692307692307692, 0.2948717948717949, 0.3076923076923077, 0.358974358974359, 0.48717948717948717, 0.5128205128205128, 1.0]","[0.0, 0.7097791798107256, 0.8012618296529969, 0.8154574132492114, 0.8186119873817035, 0.831230283911672, 0.8485804416403786, 0.8643533123028391, 0.88801261829653, 0.889589905362776, 0.8990536277602523, 0.9006309148264984, 0.9085173501577287, 0.917981072555205, 0.9305993690851735, 0.9495268138801262, 0.9511041009463722, 0.9574132492113565, 0.9637223974763407, 0.9700315457413249, 0.9889589905362776, 0.9889589905362776, 0.9936908517350158, 0.9936908517350158, 0.9968454258675079, 0.9968454258675079, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9979552  0.99695086 0.9968843  0.99492633 0.9941789
 0.994027   0.9934569  0.99293584 0.9922848  0.9920232  0.99147636
 0.99133587 0.99084747 0.9902648  0.98966646 0.9873302  0.983733
 0.9782714  0.97437626 0.82120717 0.7174489  0.6570488  0.5203011
 0.4559962  0.2968236  0.28216708 0.18526801 0.1726719  0.1195767
 0.07626203 0.05900647 0.05540148 0.0436783  0.03500586 0.03158999
 0.0296073  0.01852141]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14102564102564102, 0.16666666666666666, 0.2564102564102564, 0.3076923076923077, 0.3333333333333333, 0.3717948717948718, 0.3974358974358974, 0.41025641025641024, 1.0]","[0.0, 0.9274447949526814, 0.9290220820189274, 0.9542586750788643, 0.9558359621451105, 0.9589905362776026, 0.9684542586750788, 0.9826498422712934, 0.9858044164037855, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98666667 0.98       0.97866667 0.97
 0.96       0.89166667 0.89       0.54666667 0.15       0.11333333
 0.05333333 0.04       0.03       0.02       0.01333333 0.01
 0.        ]"
