estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,APCDD1,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.25, 0.25, 1.0]","[0.0, 0.3548387096774194, 0.4838709677419355, 0.6129032258064516, 0.7096774193548387, 0.7741935483870968, 0.8709677419354839, 0.8709677419354839, 0.9354838709677419, 0.9354838709677419, 1.0, 1.0]","[       inf 1.         0.9125     0.90555556 0.86857143 0.86388889
 0.80892857 0.65111111 0.51694444 0.49781746 0.45615079 0.09722222]"
RandomForest,APCDD1,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.75, 1.0]","[0.0, 0.41935483870967744, 0.5806451612903226, 0.6774193548387096, 0.8064516129032258, 0.9032258064516129, 0.9354838709677419, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.94 0.9  0.86 0.7  0.68 0.16 0.14 0.06]
RandomForest,APCDD1,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 1.0]","[0.0, 0.2903225806451613, 0.3225806451612903, 0.3870967741935484, 0.41935483870967744, 0.4838709677419355, 0.8387096774193549, 0.8387096774193549, 1.0, 1.0]","[       inf 1.         0.995      0.98857143 0.98071429 0.97042063
 0.6943254  0.64288889 0.51759524 0.13577778]"
RandomForest,APCDD1,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.5833333333333334, 0.75, 1.0]","[0.0, 0.5161290322580645, 0.7096774193548387, 0.7741935483870968, 0.9032258064516129, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.85 0.8  0.75 0.65 0.2  0.15 0.1  0.05]
RandomForest,GEFT,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.6451612903225806, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.8 0.7 0.4 0.3 0. ]
RandomForest,GEFT,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.3548387096774194, 0.45161290322580644, 0.6129032258064516, 0.7419354838709677, 0.967741935483871, 0.967741935483871, 1.0, 1.0]","[       inf 1.         0.99166667 0.935      0.89166667 0.6225
 0.57666667 0.56666667 0.0475    ]"
RandomForest,GEFT,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.25, 1.0]","[0.0, 0.45161290322580644, 0.5806451612903226, 0.6451612903225806, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.905      0.9        0.6052381  0.36333333
 0.30333333 0.04      ]"
RandomForest,GEFT,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.4166666666666667, 0.6666666666666666, 0.75, 1.0]","[0.0, 0.5161290322580645, 0.6129032258064516, 0.6451612903225806, 0.9032258064516129, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.8  0.75 0.7  0.25 0.2  0.15 0.1  0.05]
RandomForest,OR4F6,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.3870967741935484, 0.4838709677419355, 0.8387096774193549, 0.9032258064516129, 0.9032258064516129, 1.0, 1.0]","[       inf 1.         0.988      0.7397619  0.68823954 0.58409524
 0.44507937 0.07130303]"
RandomForest,OR4F6,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333, 0.5, 1.0]","[0.0, 0.5806451612903226, 0.8064516129032258, 0.8709677419354839, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.85 0.75 0.7  0.35 0.15 0.1  0.  ]
