estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,APCDD1,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,APCDD1,HOXA1,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,APCDD1,TCF15,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,APCDD1,TCF15,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,GEFT,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,GEFT,HOXA1,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,GEFT,TCF15,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,GEFT,TCF15,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,OR4F6,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,OR4F6,HOXA1,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,OR4F6,TCF15,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,OR4F6,TCF15,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,PTPRN,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,PTPRN,HOXA1,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,PTPRN,TCF15,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,PTPRN,TCF15,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC4A11,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC4A11,HOXA1,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC4A11,TCF15,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,SLC4A11,TCF15,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,TRIM67,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,TRIM67,HOXA1,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,TRIM67,TCF15,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,TRIM67,TCF15,WISP1,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
